feature_name,raw_field_index,raw_source_field,producer_code_path,consumer_code_path,transformation_path,role,availability_time,live_safe_status,evidence,notes
session_hour,,session_hour,current row,ML model input,current bar metadata/raw ATR,model_input,current_bar,PASS,docs/ML/ml_leakage_preflight_checklist.md,Available from current row if training and online contracts use the same preprocessing.
weekday,,weekday,current row,ML model input,current bar metadata/raw ATR,model_input,current_bar,PASS,docs/ML/ml_leakage_preflight_checklist.md,Available from current row if training and online contracts use the same preprocessing.
range_atr_6,,range_atr_6,processing/label_signals.py:add_entry_path_frequency_features,ML model input,past rolling/lagged OHLC or ATR feature,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Allowed if source OHLC rolling columns are built without future bars.
body_atr_3,,body_atr_3,processing/label_signals.py:add_entry_path_frequency_features,ML model input,past rolling/lagged OHLC or ATR feature,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Allowed if source OHLC rolling columns are built without future bars.
ret_dir_atr_lag1,,ret_dir_atr_lag1,processing/label_signals.py:add_entry_path_frequency_features,ML model input,ret_6_dir_atr.shift(1).fillna(0.0),model_input,future_bars,FAIL,processing/label_signals.py:add_entry_path_frequency_features uses ret_6_dir_atr.shift(1); label_entry_path_targets builds ret_6_dir_atr from bars base_idx+1..base_idx+1+h.,"The lagged source is a future-derived 6-bar return, so the lag does not make it live-safe."
vol_regime_24,,vol_regime_24,processing/label_signals.py:add_entry_path_frequency_features,ML model input,past rolling/lagged OHLC or ATR feature,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Allowed if source OHLC rolling columns are built without future bars.
row_strong_share_w5,,row_strong_share_w5,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_break_share_w5,,row_break_share_w5,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_direction_balance_w5,,row_direction_balance_w5,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_back_mean_w5,,row_back_mean_w5,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_back_std_w5,,row_back_std_w5,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_impulse_mean_w5,,row_impulse_mean_w5,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_power_mean_w5,,row_power_mean_w5,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_count_mean_w5,,row_count_mean_w5,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_strong_share_w10,,row_strong_share_w10,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
row_break_share_w10,,row_break_share_w10,ML/entry_path_feature_bank.py or lib_PIC feature bank,ML model input,aggregated parsed fractal window statistic,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Window feature derived from already exported fractal state.
