feature_name,raw_field_index,raw_source_field,producer_code_path,consumer_code_path,transformation_path,role,availability_time,live_safe_status,evidence,notes
predict,,predict,processing/label_signals.py,ML model input,future-derived label/predict pipeline,model_input,future_bars,FAIL,docs/ML/ml_leakage_preflight_checklist.md,Training predict is derived from future outcome and is not equivalent to live predict=0.
ATR,,ATR,current row,ML model input,current bar metadata/raw ATR,model_input,current_bar,PASS,docs/ML/ml_leakage_preflight_checklist.md,Available from current row if training and online contracts use the same preprocessing.
session_hour,,session_hour,current row,ML model input,current bar metadata/raw ATR,model_input,current_bar,PASS,docs/ML/ml_leakage_preflight_checklist.md,Available from current row if training and online contracts use the same preprocessing.
weekday,,weekday,current row,ML model input,current bar metadata/raw ATR,model_input,current_bar,PASS,docs/ML/ml_leakage_preflight_checklist.md,Available from current row if training and online contracts use the same preprocessing.
range_atr_6,,range_atr_6,processing/label_signals.py:add_entry_path_frequency_features,ML model input,past rolling/lagged OHLC or ATR feature,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Allowed if source OHLC rolling columns are built without future bars.
body_atr_3,,body_atr_3,processing/label_signals.py:add_entry_path_frequency_features,ML model input,past rolling/lagged OHLC or ATR feature,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Allowed if source OHLC rolling columns are built without future bars.
ret_dir_atr_lag1,,ret_dir_atr_lag1,processing/label_signals.py:add_entry_path_frequency_features,ML model input,ret_6_dir_atr.shift(1).fillna(0.0),model_input,unknown,UNKNOWN,docs/ML/ml_leakage_preflight_checklist.md,Lag does not prove safety because source ret_6_dir_atr is future-derived for its own row.
vol_regime_24,,vol_regime_24,processing/label_signals.py:add_entry_path_frequency_features,ML model input,past rolling/lagged OHLC or ATR feature,model_input,past_only_history,PASS,docs/ML/ml_leakage_preflight_checklist.md,Allowed if source OHLC rolling columns are built without future bars.
ret_6_dir_atr,,ret_6_dir_atr,processing/label_signals.py,ML model input,forward return over future hold bars,model_input,future_bars,FAIL,docs/ML/ml_leakage_preflight_checklist.md,Return target is known only after future bars.
ret_12_dir_atr,,ret_12_dir_atr,processing/label_signals.py,ML model input,forward return over future hold bars,model_input,future_bars,FAIL,docs/ML/ml_leakage_preflight_checklist.md,Return target is known only after future bars.
ret_24_dir_atr,,ret_24_dir_atr,processing/label_signals.py,ML model input,forward return over future hold bars,model_input,future_bars,FAIL,docs/ML/ml_leakage_preflight_checklist.md,Return target is known only after future bars.
fav_3_atr,,fav_3_atr,processing/label_signals.py,ML model input,forward favorable/adverse excursion over future hold bars,model_input,future_bars,FAIL,docs/ML/ml_leakage_preflight_checklist.md,Path outcome is known only after future bars.
adv_3_atr,,adv_3_atr,processing/label_signals.py,ML model input,forward favorable/adverse excursion over future hold bars,model_input,future_bars,FAIL,docs/ML/ml_leakage_preflight_checklist.md,Path outcome is known only after future bars.
fav_6_atr,,fav_6_atr,processing/label_signals.py,ML model input,forward favorable/adverse excursion over future hold bars,model_input,future_bars,FAIL,docs/ML/ml_leakage_preflight_checklist.md,Path outcome is known only after future bars.
adv_6_atr,,adv_6_atr,processing/label_signals.py,ML model input,forward favorable/adverse excursion over future hold bars,model_input,future_bars,FAIL,docs/ML/ml_leakage_preflight_checklist.md,Path outcome is known only after future bars.
fav_12_atr,,fav_12_atr,processing/label_signals.py,ML model input,forward favorable/adverse excursion over future hold bars,model_input,future_bars,FAIL,docs/ML/ml_leakage_preflight_checklist.md,Path outcome is known only after future bars.
adv_12_atr,,adv_12_atr,processing/label_signals.py,ML model input,forward favorable/adverse excursion over future hold bars,model_input,future_bars,FAIL,docs/ML/ml_leakage_preflight_checklist.md,Path outcome is known only after future bars.
fav_24_atr,,fav_24_atr,processing/label_signals.py,ML model input,forward favorable/adverse excursion over future hold bars,model_input,future_bars,FAIL,docs/ML/ml_leakage_preflight_checklist.md,Path outcome is known only after future bars.
adv_24_atr,,adv_24_atr,processing/label_signals.py,ML model input,forward favorable/adverse excursion over future hold bars,model_input,future_bars,FAIL,docs/ML/ml_leakage_preflight_checklist.md,Path outcome is known only after future bars.
